Date Type,Date,Program,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Daily Count People Receiving Dose 2,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,People Receiving 2 Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,7-Day Avg Daily Count Dose 2,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People with at least One Dose Cumulative,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Admin,2020-12-13,US,12707,11183,1355,12707,11183,1355,11183,12707,1355,null,null,1431,11183,1431,1431
Report,2020-12-13,US,null,null,null,null,null,null,null,null,null,0,0,null,null,null,null
Admin,2020-12-13,LTC,229,229,0,229,229,0,229,229,0,null,null,0,229,0,0
Admin,2020-12-14,US,3801,3673,5,16508,14856,1360,7428,8254,680,null,null,23,14856,1454,727
Report,2020-12-14,US,null,null,null,null,null,null,null,null,null,509,255,null,null,null,null
Admin,2020-12-14,LTC,0,0,0,229,229,0,115,114,0,null,null,0,229,0,0
Admin,2020-12-15,US,49437,45967,27,65945,60823,1387,20274,21981,462,null,null,48,60823,1502,500
Report,2020-12-15,US,null,null,null,null,null,null,null,null,null,12129,4213,null,null,null,null
Admin,2020-12-15,LTC,0,0,0,229,229,0,76,76,0,null,null,0,229,0,0
Admin,2020-12-16,US,159677,152762,207,225622,213585,1594,53396,56405,399,null,null,228,213585,1730,432
Report,2020-12-16,US,null,null,null,null,null,null,null,null,null,38996,12909,null,null,null,null
Admin,2020-12-16,LTC,0,0,0,229,229,0,57,57,0,null,null,0,229,0,0
Admin,2020-12-17,US,272590,261535,510,498212,475120,2104,95024,99642,421,null,null,531,475120,2261,452
Report,2020-12-17,US,null,null,null,null,null,null,null,null,null,75708,25468,null,null,null,null
Admin,2020-12-17,LTC,5,5,0,234,234,0,47,46,0,null,null,0,234,0,0
Admin,2020-12-18,US,415047,403198,652,913259,878318,2756,146386,152209,459,null,null,655,878318,2916,486
Report,2020-12-18,US,null,null,null,null,null,null,null,null,null,126800,42357,null,null,null,null
Admin,2020-12-18,LTC,1518,1319,0,1752,1553,0,259,292,0,null,null,0,1553,0,0
